id,title,date,event_format,created_at,updated_at
1,They're Back - Iraq War Hawks Target Iran,2015-08-19,issue_ad,2015-09-28 15:30:30,2015-09-28 15:30:30
2,Reshuffle the Deck and Rebuild the Middle Class,2015-08-19,presidential_campaign_ad,2015-09-28 15:30:32,2015-09-28 15:30:32
3,Stand for Reality,2015-07-26,presidential_campaign_ad,2015-09-28 15:30:32,2015-09-28 15:30:32
4,GOP Debate hosted by Fox News and Facebook,2015-08-07,presidential_primary_debate,2015-09-28 15:30:33,2015-09-28 15:30:33
5,Obama SOTU 2015,2015-01-20,presidential_address,2015-09-28 15:30:33,2015-09-28 15:30:33
6,Obama SOTU 2014,2014-01-28,presidential_address,2015-09-28 15:30:33,2015-09-28 15:30:33
7,Obama SOTU 2013,2013-02-12,presidential_address,2015-09-28 15:30:34,2015-09-28 15:30:34
8,Obama SOTU 2012,2012-01-24,presidential_address,2015-09-28 15:30:34,2015-09-28 15:30:34
9,Obama SOTU 2011,2011-01-25,presidential_address,2015-09-28 15:30:35,2015-09-28 15:30:35
10,Obama SOTU 2010,2010-01-27,presidential_address,2015-09-28 15:30:35,2015-09-28 15:30:35
11,Obama Inaugural 2009,2009-01-20,presidential_address,2015-09-28 15:30:35,2015-09-28 15:30:35
12,Reagan SOTU 1988,1988-01-25,presidential_address,2015-09-28 15:30:36,2015-09-28 15:30:36
13,Reagan SOTU 1982,1982-01-26,presidential_address,2015-09-28 15:30:36,2015-09-28 15:30:36
14,Obama v Romney III,2012-10-20,presidential_debate,2015-09-28 15:30:36,2015-09-28 15:30:36
15,Obama v Romney II,2012-09-10,presidential_debate,2015-09-28 15:30:37,2015-09-28 15:30:37
16,Obama v Romney I,2012-09-01,presidential_debate,2015-09-28 15:30:37,2015-09-28 15:30:37
17,McCain v Obama III,2008-10-20,presidential_debate,2015-09-28 15:30:38,2015-09-28 15:30:38
18,McCain v Obama II,2008-10-01,presidential_debate,2015-09-28 15:30:38,2015-09-28 15:30:38
19,McCain v Obama I,2008-09-01,presidential_debate,2015-09-28 15:30:38,2015-09-28 15:30:38
20,Biden v Ryan,2012-10-20,vice_presidential_debate,2015-09-28 15:30:39,2015-09-28 15:30:39
21,Biden v Palin,2008-09-20,vice_presidential_debate,2015-09-28 15:30:39,2015-09-28 15:30:39
