id,channel_id,view_count,subscriber_count,comment_count,video_count,hidden_subscriber_count,created_at,updated_at
1,UC-Cs55IKt_UoYTMyioTSPww,63490,295,0,1,f,2015-09-28 15:30:40 UTC,2015-09-28 15:30:40 UTC
2,UCH1dpzjCEiGAt8CXkryhkZg,1369311,23578,0,76,f,2015-09-28 15:30:40 UTC,2015-09-28 15:30:40 UTC
3,UCQnJDld3oa2vX7xYaXlSj4A,249942,665,0,67,f,2015-09-28 15:30:41 UTC,2015-09-28 15:30:41 UTC
4,UCHprWAjXDn0eQrQdvHk1LMA,249677,397,6,6,f,2015-09-28 15:30:41 UTC,2015-09-28 15:30:41 UTC
5,UC9AKA0PYiGCSPqfCEMaKtag,20854410,36955,0,160,f,2015-09-28 15:30:42 UTC,2015-09-28 15:30:42 UTC
6,UCxuef1vrlJMjZRrFmYyGSeQ,1546835,2735,0,109,f,2015-09-28 15:30:43 UTC,2015-09-28 15:30:43 UTC
7,UC9kxxJRFWN5Bup1QHhGcxgw,866690,1340,0,189,f,2015-09-28 15:30:43 UTC,2015-09-28 15:30:43 UTC
8,UCU-5kgkuIPfdDtLru5AAwgg,182821,248,0,167,f,2015-09-28 15:30:44 UTC,2015-09-28 15:30:44 UTC
9,UCuP7cm-m6JDhhBxH8HfFSjQ,30285,146,0,4,f,2015-09-28 15:30:44 UTC,2015-09-28 15:30:44 UTC
10,UCcpyWr8t15Xs-4vNmlNVLRQ,1537540,2977,0,179,f,2015-09-28 15:30:44 UTC,2015-09-28 15:30:44 UTC
11,UC4vrtT6rYwuocyUAqzw7ERA,369196,678,0,61,f,2015-09-28 15:30:45 UTC,2015-09-28 15:30:45 UTC
12,UCiYZ3Ta44Lc0qP5bOASz7Yw,1838896,1712,0,228,f,2015-09-28 15:30:45 UTC,2015-09-28 15:30:45 UTC
13,UCS3pMFB7C_BujEG5xaQIZzw,2798218,5983,18,669,f,2015-09-28 15:30:45 UTC,2015-09-28 15:30:45 UTC
14,UC_8WUrPbi8clO6sWt_FDvuA,1809256,8912,0,102,f,2015-09-28 15:30:46 UTC,2015-09-28 15:30:46 UTC
15,UCzMQMhq7Id0Y_wSDA_CJdGg,3038179,9747,9,320,f,2015-09-28 15:30:46 UTC,2015-09-28 15:30:46 UTC
16,UC-Cs55IKt_UoYTMyioTSPww,63534,295,0,3,f,2015-09-30 18:30:53 UTC,2015-09-30 18:30:53 UTC
17,UCiYZ3Ta44Lc0qP5bOASz7Yw,1859777,1736,0,228,f,2015-09-30 18:30:54 UTC,2015-09-30 18:30:54 UTC
18,UCH1dpzjCEiGAt8CXkryhkZg,1386265,23767,0,76,f,2015-09-30 18:30:55 UTC,2015-09-30 18:30:55 UTC
19,UCQnJDld3oa2vX7xYaXlSj4A,251907,678,0,71,f,2015-09-30 18:30:55 UTC,2015-09-30 18:30:55 UTC
20,UCHprWAjXDn0eQrQdvHk1LMA,250374,399,6,6,f,2015-09-30 18:30:56 UTC,2015-09-30 18:30:56 UTC
21,UC9AKA0PYiGCSPqfCEMaKtag,20880690,37008,0,160,f,2015-09-30 18:31:02 UTC,2015-09-30 18:31:02 UTC
22,UCxuef1vrlJMjZRrFmYyGSeQ,1549724,2741,0,110,f,2015-09-30 18:31:02 UTC,2015-09-30 18:31:02 UTC
23,UC9kxxJRFWN5Bup1QHhGcxgw,866821,1339,0,189,f,2015-09-30 18:31:03 UTC,2015-09-30 18:31:03 UTC
24,UCU-5kgkuIPfdDtLru5AAwgg,182919,249,0,167,f,2015-09-30 18:31:05 UTC,2015-09-30 18:31:05 UTC
25,UCuP7cm-m6JDhhBxH8HfFSjQ,30382,148,0,4,f,2015-09-30 18:31:06 UTC,2015-09-30 18:31:06 UTC
26,UCcpyWr8t15Xs-4vNmlNVLRQ,1537577,2974,0,179,f,2015-09-30 18:31:07 UTC,2015-09-30 18:31:07 UTC
27,UC4vrtT6rYwuocyUAqzw7ERA,369783,684,0,61,f,2015-09-30 18:31:08 UTC,2015-09-30 18:31:08 UTC
28,UCS3pMFB7C_BujEG5xaQIZzw,2806985,6053,18,673,f,2015-09-30 18:31:12 UTC,2015-09-30 18:31:12 UTC
29,UC_8WUrPbi8clO6sWt_FDvuA,1812066,8923,0,103,f,2015-09-30 18:31:12 UTC,2015-09-30 18:31:12 UTC
30,UCzMQMhq7Id0Y_wSDA_CJdGg,3054525,9822,9,325,f,2015-09-30 18:31:16 UTC,2015-09-30 18:31:16 UTC
31,UCEeJwPqSAkPNxIR-HZ89fvw,363399,1885,4,74,f,2015-09-30 18:31:17 UTC,2015-09-30 18:31:17 UTC
32,UCv21uvBUh9c-P41qeMREjog,968293,578,0,86,f,2015-09-30 18:31:18 UTC,2015-09-30 18:31:18 UTC
