id,playlist_id,etag,published_at,title,description,thumbnails,privacy_status,resource_type,resource_id,created_at,updated_at
FL6NYoirPTfTg2kUlRuBGA9AwSY2fUCtOy,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/7eGo2t9iPpJSGpi1xLFLePGLMI8,2011-04-13 18:15:25 UTC,CNN Official Interview: Rick Santorum 'Mission confusion in Libya',Former Republican Sen. Rick Santorum tells Piers Morgan that President Obama has already missed an opportunity in Libya.,"{""default""=>{""url""=>""https://i.ytimg.com/vi/IViTcEUCd6k/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/IViTcEUCd6k/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/IViTcEUCd6k/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,youtube#video,IViTcEUCd6k,2015-09-28 15:34:12 UTC,2015-09-28 15:34:12 UTC
FL6NYoirPTfTg7mMAw5sHhS2b_JA2pRYas,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/2Z9AX3mDFkIEexsgebIDs_Azn9w,2011-04-13 18:13:37 UTC,Rick Santorum at the Grafton County Republican Dinner: Q & A,"Monday night, the 'Grok was able to cover the Grafton Republican Committee dinner up in Lincoln (and yes, it was snowing lightly) where Rick Santorum spoke at length about the current state of affairs of the country and his political outlook.

Note: although the former Senator from PA was holding a mic, the PA system was pretty much a bust - apologies if the audio is not quite crisp enough.","{""default""=>{""url""=>""https://i.ytimg.com/vi/WLitQMsVzCE/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/WLitQMsVzCE/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/WLitQMsVzCE/hqdefault.jpg"", ""width""=>480, ""height""=>360}, ""standard""=>{""url""=>""https://i.ytimg.com/vi/WLitQMsVzCE/sddefault.jpg"", ""width""=>640, ""height""=>480}}",public,youtube#video,WLitQMsVzCE,2015-09-28 15:34:13 UTC,2015-09-28 15:34:13 UTC
FL6NYoirPTfTgCLCBHIpiB_aLo-RHqGgg_,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/vfnRuWR-AqveNRzSovmD5cBkCHY,2011-03-08 16:18:58 UTC,Rick Santorum at CPAC 2011,"Rick Santorum gave a moving speech at CPAC on Thursday, February 10, 2011, decrying the current administration's waffling on Egypt and driving home that conservative social values and economic values go hand in hand.  Rick recounted his history of ancestors.","{""default""=>{""url""=>""https://i.ytimg.com/vi/30AmE5cAyng/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/30AmE5cAyng/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/30AmE5cAyng/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,youtube#video,30AmE5cAyng,2015-09-28 15:34:14 UTC,2015-09-28 15:34:14 UTC
FL6NYoirPTfTgEiVP2Jx7nGpper2fcAHDE,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/PB-DLGu4yZu_a4yNWVmgE3Y9UQY,2011-04-13 18:18:16 UTC,Sen. Rick Santorum in Iowa Part 2,Former PA Senator Rick Santorum spends time with WHO Radio's Jan Mickelson in Iowa.  Segment 2 of 2.,"{""default""=>{""url""=>""https://i.ytimg.com/vi/CQM77N2UWHw/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/CQM77N2UWHw/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/CQM77N2UWHw/hqdefault.jpg"", ""width""=>480, ""height""=>360}, ""standard""=>{""url""=>""https://i.ytimg.com/vi/CQM77N2UWHw/sddefault.jpg"", ""width""=>640, ""height""=>480}, ""maxres""=>{""url""=>""https://i.ytimg.com/vi/CQM77N2UWHw/maxresdefault.jpg"", ""width""=>1280, ""height""=>720}}",public,youtube#video,CQM77N2UWHw,2015-09-28 15:34:10 UTC,2015-09-28 15:34:10 UTC
FL6NYoirPTfTggEJzXtJRw_FgDl57zkug0,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/erpEOSLAHRvL-M-GT0DyW1ZYhZg,2011-01-05 19:24:06 UTC,Private video,This video is private.,{},private,youtube#video,Nnbj0Drwy3g,2015-09-28 15:34:15 UTC,2015-09-28 15:34:15 UTC
FL6NYoirPTfTgmTwn5oYjW3S7sTwPRPh66,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/-H9wt62rB5madlcuA8xhABLEFXU,2010-11-19 21:09:56 UTC,Rick Santorum: Finish Strong,"http://ricksantorum.com - As we near the end of this historic election, Senator Rick Santorum looks back on the journey we've taken over the past two years and encourages you to dig deep and get out the vote.  Visit http://ricksantorum.com/ to find your polling location","{""default""=>{""url""=>""https://i.ytimg.com/vi/DE-US7YM9S8/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/DE-US7YM9S8/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/DE-US7YM9S8/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,youtube#video,DE-US7YM9S8,2015-09-28 15:34:17 UTC,2015-09-28 15:34:17 UTC
FL6NYoirPTfTgp8efOWZ3uPdUc9M5EDQ14,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/b0FN4RBSx54EeMsT6-qzBIQCLAI,2011-03-08 16:20:14 UTC,VIDEO: Will Rick Santorum Run for President in 2012?,"Possible GOP Presidential Contender Senator Rick Santorum (R-PA) tells Greta he's ""gotta defer"" the 2012 White House run question, but says, ""he's out there testing the waters"".","{""default""=>{""url""=>""https://i.ytimg.com/vi/QASfoKSTbHI/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/QASfoKSTbHI/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/QASfoKSTbHI/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,youtube#video,QASfoKSTbHI,2015-09-28 15:34:14 UTC,2015-09-28 15:34:14 UTC
FL6NYoirPTfTgshp51RtGwDiOrYDmR1Wxy,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/6wj02u-ehZeq5jOnTK6Lmwp6FEI,2011-04-13 18:15:45 UTC,Senator Rick Santorum on This Is The Day,Senator Rick Santorum talks with Kevin Nelson on  CatholicTV's This Is The Day. Past episodes of the show can be seen here at the CatholicTV YouTube channel and on demand at www.CatholicTV.com/this-is-the-day,"{""default""=>{""url""=>""https://i.ytimg.com/vi/tbGsm7kQnWU/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/tbGsm7kQnWU/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/tbGsm7kQnWU/hqdefault.jpg"", ""width""=>480, ""height""=>360}, ""standard""=>{""url""=>""https://i.ytimg.com/vi/tbGsm7kQnWU/sddefault.jpg"", ""width""=>640, ""height""=>480}}",public,youtube#video,tbGsm7kQnWU,2015-09-28 15:34:12 UTC,2015-09-28 15:34:12 UTC
FL6NYoirPTfTh9oaPrmRCxak4862g41xKZ,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/_CIK1tRleeCfoDKaJDTuqkfTJbs,2010-11-19 21:17:27 UTC,Private video,This video is private.,{},private,youtube#video,ThVgXrPLPJ0,2015-09-28 15:34:16 UTC,2015-09-28 15:34:16 UTC
FL6NYoirPTfThBr9xrloKsPhDXwLObxbSQ,FLcpyWr8t15Xs-4vNmlNVLRQ,jOXstHOM20qemPbHbyzf7ztZ7rI/ckhB0d0s7QdK-4uy7kvA2TYOX_U,2011-04-13 18:15:34 UTC,"The Brody File: March 15, 2011 - CBN.com","Watch this week's edition of The Brody File for exclusive interviews with presidential hopefuls Newt Gingrich, Tim Pawlenty and Rick Santorum... The Christian Broadcasting Network CBN http://www.cbn.com","{""default""=>{""url""=>""https://i.ytimg.com/vi/rmCLa9fSuMc/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/rmCLa9fSuMc/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/rmCLa9fSuMc/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,youtube#video,rmCLa9fSuMc,2015-09-28 15:34:12 UTC,2015-09-28 15:34:12 UTC
