id,channel_id,etag,published_at,title,description,thumbnails,privacy_status,size,player_html,created_at,updated_at
FLS3pMFB7C_BujEG5xaQIZzw,UCS3pMFB7C_BujEG5xaQIZzw,YxyobdYztCvdjXOUqpUttvF39GM/WrHrxfBaQQc_S31R7MX_oAOhoOI,2009-05-12 17:07:23,Favorites,"","{""default""=>{""url""=>""https://i.ytimg.com/vi/OdueTYY67OQ/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/OdueTYY67OQ/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/OdueTYY67OQ/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,1,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=FLS3pMFB7C_BujEG5xaQIZzw"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:58,2015-09-30 18:31:53
FLU-5kgkuIPfdDtLru5AAwgg,UCU-5kgkuIPfdDtLru5AAwgg,YxyobdYztCvdjXOUqpUttvF39GM/-2sq1H5EObmMG2zji1AJ9j7p9Qc,2013-01-30 21:03:11,Favorites,"","{""default""=>{""url""=>""https://i.ytimg.com/vi/oqIUGGQz2wM/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/oqIUGGQz2wM/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/oqIUGGQz2wM/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,1,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=FLU-5kgkuIPfdDtLru5AAwgg"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:53,2015-09-30 18:31:35
FLcpyWr8t15Xs-4vNmlNVLRQ,UCcpyWr8t15Xs-4vNmlNVLRQ,YxyobdYztCvdjXOUqpUttvF39GM/jP2ew8M_PhQYl6QYOXqHR9L6OqI,2006-10-18 22:42:17,Favorites,"","{""default""=>{""url""=>""https://i.ytimg.com/vi/2AkYK7Lv3mo/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/2AkYK7Lv3mo/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/2AkYK7Lv3mo/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,45,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=FLcpyWr8t15Xs-4vNmlNVLRQ"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:55,2015-09-30 18:31:41
LL9AKA0PYiGCSPqfCEMaKtag,UC9AKA0PYiGCSPqfCEMaKtag,YxyobdYztCvdjXOUqpUttvF39GM/q-352btMS3KAUiKvgKNwg-dI2cY,1970-01-01 00:00:00,Liked videos,"","{""default""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>480, ""height""=>360}}",public,0,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=LL9AKA0PYiGCSPqfCEMaKtag"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:49,2015-09-30 18:31:26
LLS3pMFB7C_BujEG5xaQIZzw,UCS3pMFB7C_BujEG5xaQIZzw,YxyobdYztCvdjXOUqpUttvF39GM/OEsXRy_V8_yONg1UYAxJvtfJWmY,1970-01-01 00:00:00,Liked videos,"","{""default""=>{""url""=>""https://i.ytimg.com/vi/RpDUYSljrKk/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/RpDUYSljrKk/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/RpDUYSljrKk/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,8,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=LLS3pMFB7C_BujEG5xaQIZzw"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:57,2015-09-30 18:31:51
LLU-5kgkuIPfdDtLru5AAwgg,UCU-5kgkuIPfdDtLru5AAwgg,YxyobdYztCvdjXOUqpUttvF39GM/hyJlVe3QIFCnrlPeK5t4Hh2WvmE,1970-01-01 00:00:00,Liked videos,"","{""default""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>480, ""height""=>360}}",public,0,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=LLU-5kgkuIPfdDtLru5AAwgg"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:52,2015-09-30 18:31:35
LLcpyWr8t15Xs-4vNmlNVLRQ,UCcpyWr8t15Xs-4vNmlNVLRQ,YxyobdYztCvdjXOUqpUttvF39GM/2OpLNMsohQ4D8Cj2ahpf9nZ9Uw0,1970-01-01 00:00:00,Liked videos,"","{""default""=>{""url""=>""https://i.ytimg.com/vi/mzK05cQBHOI/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/mzK05cQBHOI/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/mzK05cQBHOI/hqdefault.jpg"", ""width""=>480, ""height""=>360}, ""standard""=>{""url""=>""https://i.ytimg.com/vi/mzK05cQBHOI/sddefault.jpg"", ""width""=>640, ""height""=>480}, ""maxres""=>{""url""=>""https://i.ytimg.com/vi/mzK05cQBHOI/maxresdefault.jpg"", ""width""=>1280, ""height""=>720}}",public,56,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=LLcpyWr8t15Xs-4vNmlNVLRQ"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:54,2015-09-30 18:31:39
LLzMQMhq7Id0Y_wSDA_CJdGg,UCzMQMhq7Id0Y_wSDA_CJdGg,YxyobdYztCvdjXOUqpUttvF39GM/LPAz8EQUoeoKaJO1XT1mBKA4h9Y,1970-01-01 00:00:00,Liked videos,"","{""default""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""http://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg"", ""width""=>480, ""height""=>360}}",public,0,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=LLzMQMhq7Id0Y_wSDA_CJdGg"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:31:01,2015-09-30 18:32:09
PL03267CA9B82D3BAA,UCcpyWr8t15Xs-4vNmlNVLRQ,YxyobdYztCvdjXOUqpUttvF39GM/IN-0oyyx6Hnx01_WtIBxws1O_kw,2006-10-18 22:44:37,Videos From Other People,Videos from other people.,"{""default""=>{""url""=>""https://i.ytimg.com/vi/eEcBQ53QBEw/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/eEcBQ53QBEw/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/eEcBQ53QBEw/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,1,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PL03267CA9B82D3BAA"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:55,2015-09-30 18:31:42
PL04A1CC5C9B860F6E,UCS3pMFB7C_BujEG5xaQIZzw,YxyobdYztCvdjXOUqpUttvF39GM/hQ-_61wgZ6k3zaMas3JCIqvmb4o,2010-07-13 14:33:51,A Conversation With Marco,Marco sits down to explain his views on a variety of issues.,"{""default""=>{""url""=>""https://i.ytimg.com/vi/YtAKyk5kM4o/default.jpg"", ""width""=>120, ""height""=>90}, ""medium""=>{""url""=>""https://i.ytimg.com/vi/YtAKyk5kM4o/mqdefault.jpg"", ""width""=>320, ""height""=>180}, ""high""=>{""url""=>""https://i.ytimg.com/vi/YtAKyk5kM4o/hqdefault.jpg"", ""width""=>480, ""height""=>360}}",public,16,"<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PL04A1CC5C9B860F6E"" frameborder=""0"" allowfullscreen></iframe>",2015-09-28 15:30:59,2015-09-30 18:32:04
