id,video_id,view_count,like_count,dislike_count,favorite_count,comment_count,created_at,updated_at
1,OVMJC1PTmsw,3309,20,1,0,1,2015-09-28 15:30:32,2015-09-28 15:30:32
2,pw6JRuItcus,220867,250,334,0,0,2015-09-28 15:30:32,2015-09-28 15:30:32
3,_ZwguLJVxsM,90905,1514,862,0,0,2015-09-28 15:30:33,2015-09-28 15:30:33
4,oqjkx_SUeH8,76081,152,122,0,273,2015-09-28 15:30:33,2015-09-28 15:30:33
5,cse5cCGuHmE,1872715,10203,2123,0,5087,2015-09-28 15:30:33,2015-09-28 15:30:33
6,iV8ciKTDzYY,36970,295,103,0,110,2015-09-28 15:30:34,2015-09-28 15:30:34
7,CKwE2EGsfMk,390445,1508,741,0,4266,2015-09-28 15:30:34,2015-09-28 15:30:34
8,RLYphVUutTs,52592,257,53,0,284,2015-09-28 15:30:35,2015-09-28 15:30:35
9,9ZdEmjtF6HE,926649,4933,1144,0,8348,2015-09-28 15:30:35,2015-09-28 15:30:35
10,L1PWQtCDaYY,500847,2073,708,0,4717,2015-09-28 15:30:35,2015-09-28 15:30:35
11,3PuHGKnboNY,1756885,3977,666,0,5131,2015-09-28 15:30:36,2015-09-28 15:30:36
12,rG-DZqOX_wc,38750,173,21,0,65,2015-09-28 15:30:36,2015-09-28 15:30:36
13,2QFLsxeEl5I,75910,340,32,0,125,2015-09-28 15:30:36,2015-09-28 15:30:36
14,tecohezcA78,3128791,9073,1478,0,35986,2015-09-28 15:30:37,2015-09-28 15:30:37
15,QEpCrcMF5Ps,7009553,20053,1977,0,51371,2015-09-28 15:30:37,2015-09-28 15:30:37
16,dkrwUU_YApE,5891021,14924,2913,0,52691,2015-09-28 15:30:38,2015-09-28 15:30:38
17,DvdfO0lq4rQ,2637917,5664,569,0,26060,2015-09-28 15:30:38,2015-09-28 15:30:38
18,VkBqLBsu-o4,936521,1614,208,0,6048,2015-09-28 15:30:38,2015-09-28 15:30:38
19,F-nNIEduEOw,1828447,4694,498,0,13129,2015-09-28 15:30:39,2015-09-28 15:30:39
20,05VnURkqjXs,47626,185,8,0,395,2015-09-28 15:30:39,2015-09-28 15:30:39
21,89FbCPzAsRA,2246452,4614,573,0,18470,2015-09-28 15:30:39,2015-09-28 15:30:39
22,--CLJrG-Y7E,88,5,2,0,1,2015-09-28 15:40:29,2015-09-28 15:40:29
23,-1Ry0XeuCQo,842,10,2,0,5,2015-09-28 15:40:30,2015-09-28 15:40:30
24,-2ul4r24frY,10935,48,48,0,28,2015-09-28 15:40:30,2015-09-28 15:40:30
25,-8O313ONdVE,2719,25,11,0,0,2015-09-28 15:40:30,2015-09-28 15:40:30
26,-CJycoyTsYk,388,18,3,0,0,2015-09-28 15:40:31,2015-09-28 15:40:31
27,-CStxjg_YzY,1268,14,3,0,6,2015-09-28 15:40:31,2015-09-28 15:40:31
28,-EsDxRDEwhw,392545,2028,4372,0,2621,2015-09-28 15:40:31,2015-09-28 15:40:31
29,-HwXhTawniI,395,21,1,0,0,2015-09-28 15:40:32,2015-09-28 15:40:32
30,-ILXH_iWPC8,617,19,10,0,11,2015-09-28 15:40:32,2015-09-28 15:40:32
31,-JvS1ECwhRw,1072,9,2,0,5,2015-09-28 15:40:33,2015-09-28 15:40:33
32,-KAtvOsqRdI,1965,10,2,0,2,2015-09-28 15:40:33,2015-09-28 15:40:33
33,-OsngwvEM2c,1847,16,2,0,2,2015-09-28 15:40:33,2015-09-28 15:40:33
34,-P4ifLcsCog,950,9,3,0,0,2015-09-28 15:40:34,2015-09-28 15:40:34
35,-SbN21Po8OI,383,2,0,0,2,2015-09-28 15:40:34,2015-09-28 15:40:34
36,-Tbl3kAtaos,6091,20,3,0,13,2015-09-28 15:40:35,2015-09-28 15:40:35
37,-WPthRYxbRo,116,2,1,0,0,2015-09-28 15:40:35,2015-09-28 15:40:35
38,-WTSXLLpeeY,1469,11,1,0,1,2015-09-28 15:40:36,2015-09-28 15:40:36
39,-Ws5yhlHkxM,947,10,1,0,2,2015-09-28 15:40:36,2015-09-28 15:40:36
40,-Xl8weCYLvA,109,9,1,0,0,2015-09-28 15:40:36,2015-09-28 15:40:36
41,-_AnELQ0hjA,4037,334,2,0,29,2015-09-28 15:40:37,2015-09-28 15:40:37
42,-_E7B66tiD8,1055,11,2,0,1,2015-09-28 15:40:37,2015-09-28 15:40:37
43,-_ojR45bbMo,887,5,1,0,7,2015-09-28 15:40:38,2015-09-28 15:40:38
44,-aCt9RR9O6U,269,0,0,0,1,2015-09-28 15:40:38,2015-09-28 15:40:38
45,-akgu0W2k0Y,37113,107,14,0,52,2015-09-28 15:40:38,2015-09-28 15:40:38
46,-awpKSy_1ns,487,4,7,0,0,2015-09-28 15:40:39,2015-09-28 15:40:39
47,-ih9EZZPJ_Y,961,19,4,0,1,2015-09-28 15:40:39,2015-09-28 15:40:39
48,-iwZOG-0UwI,5691,14,6,0,12,2015-09-28 15:40:39,2015-09-28 15:40:39
49,-kLA_RYoGrs,615,0,0,0,0,2015-09-28 15:40:40,2015-09-28 15:40:40
50,-nWcQuS1_lA,4235,20,6,0,17,2015-09-28 15:40:40,2015-09-28 15:40:40
51,-q1TeGsI7DA,1611,7,1,0,3,2015-09-28 15:40:40,2015-09-28 15:40:40
52,-rAwKWsvEZk,36,1,0,0,0,2015-09-28 15:40:41,2015-09-28 15:40:41
53,-rTtIZ2pLts,11204,6,4,0,4,2015-09-28 15:40:41,2015-09-28 15:40:41
54,-sfctHenw_8,465,26,5,0,1,2015-09-28 15:40:41,2015-09-28 15:40:41
55,-uv6gyUwI1I,135,5,1,0,0,2015-09-28 15:40:42,2015-09-28 15:40:42
56,-ztJHX_TevU,983,27,5,0,0,2015-09-28 15:40:42,2015-09-28 15:40:42
57,0-djJHhh9aI,492,1,0,0,1,2015-09-28 15:40:43,2015-09-28 15:40:43
58,0-j8ebZrN5I,233,2,0,0,0,2015-09-28 15:40:43,2015-09-28 15:40:43
59,03QtKtYL3lY,1857,19,1,0,0,2015-09-28 15:40:43,2015-09-28 15:40:43
60,03kuHt1H_Ek,8227,200,23,0,55,2015-09-28 15:40:44,2015-09-28 15:40:44
61,04WDkComuSk,5547,13,4,0,2,2015-09-28 15:40:44,2015-09-28 15:40:44
62,06fYGmMmsG4,1243,27,12,0,8,2015-09-28 15:40:45,2015-09-28 15:40:45
63,06siPyilIs4,84,0,0,0,0,2015-09-28 15:40:45,2015-09-28 15:40:45
64,06wj5CDqjeE,29273,4,2,0,1,2015-09-28 15:40:47,2015-09-28 15:40:47
65,07LWKqfdNf8,994,21,0,0,1,2015-09-28 15:40:47,2015-09-28 15:40:47
66,07Ti-hOwjec,930,17,5,0,0,2015-09-28 15:40:47,2015-09-28 15:40:47
67,0AENgz8RnQc,4052,14,2,0,7,2015-09-28 15:40:48,2015-09-28 15:40:48
68,0BjeNejOenw,3205,31,12,0,4,2015-09-28 15:40:48,2015-09-28 15:40:48
69,0ByS4C87sVw,705,1,2,0,2,2015-09-28 15:40:49,2015-09-28 15:40:49
70,0E9_IKLCUU0,175,7,2,0,0,2015-09-28 15:40:49,2015-09-28 15:40:49
71,0Eqxc4t-Ie8,2673,14,10,0,1,2015-09-28 15:40:49,2015-09-28 15:40:49
72,0F-ZO5A3bYY,1676,68,3,0,9,2015-09-28 15:40:50,2015-09-28 15:40:50
73,0FTdMAzkngg,459,0,0,0,0,2015-09-28 15:40:51,2015-09-28 15:40:51
74,0FhJ16K90gA,1977,48,4,0,0,2015-09-28 15:40:51,2015-09-28 15:40:51
75,0GJCXYnhBm0,61,0,0,0,1,2015-09-28 15:40:52,2015-09-28 15:40:52
76,0GxUomKU8_U,847,10,7,0,4,2015-09-28 15:40:52,2015-09-28 15:40:52
77,0I4bOPvcYbo,3661,68,2,0,5,2015-09-28 15:40:52,2015-09-28 15:40:52
78,0I7Wh_UMI5s,458,7,1,0,0,2015-09-28 15:40:53,2015-09-28 15:40:53
79,0IEqBqEQzrc,371,15,0,0,0,2015-09-28 15:40:53,2015-09-28 15:40:53
80,0JBsEfgAjO0,4648,51,2,0,14,2015-09-28 15:40:53,2015-09-28 15:40:53
81,0L70ORU8LOA,12,0,0,0,0,2015-09-28 15:40:54,2015-09-28 15:40:54
82,0LSer5CTnFo,2694,5,7,0,0,2015-09-28 15:40:54,2015-09-28 15:40:54
83,0NYYCd94Zsc,16,0,0,0,0,2015-09-28 15:40:55,2015-09-28 15:40:55
84,0PFJ5MpcQoE,6132,1,2,0,0,2015-09-28 15:40:55,2015-09-28 15:40:55
85,0QvNuiF592U,234,1,0,0,1,2015-09-28 15:40:56,2015-09-28 15:40:56
86,0T5S4A1yzzY,434,4,19,0,0,2015-09-28 15:40:56,2015-09-28 15:40:56
87,0Tb1IJ2PhOg,8014,594,7,0,10,2015-09-28 15:40:57,2015-09-28 15:40:57
88,0UxCXsbmEPM,151,5,1,0,0,2015-09-28 15:40:57,2015-09-28 15:40:57
89,0XpogMtnHEQ,1132,13,5,0,1,2015-09-28 15:40:58,2015-09-28 15:40:58
90,0YMZDgKHVPM,49552,60,11,0,107,2015-09-28 15:40:58,2015-09-28 15:40:58
91,0Yc-qRFpAM4,74366,287,9,0,190,2015-09-28 15:40:59,2015-09-28 15:40:59
92,0bPuciRw04U,9288,1,1,0,0,2015-09-28 15:40:59,2015-09-28 15:40:59
93,0cMNkSYPKuo,418,0,0,0,0,2015-09-28 15:41:00,2015-09-28 15:41:00
94,0cVEmnNfKtM,294,8,2,0,0,2015-09-28 15:41:00,2015-09-28 15:41:00
95,0cuIz2nsOWc,5186,21,5,0,8,2015-09-28 15:41:00,2015-09-28 15:41:00
96,0dJtv9BVYhI,31752,1432,36,0,3208,2015-09-28 15:41:01,2015-09-28 15:41:01
97,0ekLvKMJOqg,291,8,0,0,1,2015-09-28 15:41:03,2015-09-28 15:41:03
98,0g9fz-Zk7wk,25422,17,2,0,3,2015-09-28 15:41:04,2015-09-28 15:41:04
99,0gR7iBZhbLE,19909,10,2,0,0,2015-09-28 15:41:04,2015-09-28 15:41:04
100,0hYZdXEo7Aw,10,0,0,0,0,2015-09-28 15:41:05,2015-09-28 15:41:05
101,0kqxqu27mrQ,3206,20,3,0,13,2015-09-28 15:41:05,2015-09-28 15:41:05
102,0kypyTdw2ao,4578,114,11,0,22,2015-09-28 15:41:06,2015-09-28 15:41:06
103,0l4RMGDmoTU,29256,4,1,0,0,2015-09-28 15:41:07,2015-09-28 15:41:07
104,0mtOibo6mxw,2392,21,6,0,27,2015-09-28 15:41:08,2015-09-28 15:41:08
105,0u3J-sHhKMY,65,4,0,0,0,2015-09-28 15:41:08,2015-09-28 15:41:08
106,0uf9d7gQlbM,6158,44,14,0,22,2015-09-28 15:41:09,2015-09-28 15:41:09
107,0unNn7lO-eQ,358,26,2,0,5,2015-09-28 15:41:09,2015-09-28 15:41:09
108,0xoidoc_gXY,297,14,2,0,0,2015-09-28 15:41:10,2015-09-28 15:41:10
109,10IVR9Z_9W0,22029,3,1,0,0,2015-09-28 15:41:11,2015-09-28 15:41:11
110,10bCnKeDmqU,55642,184,402,0,98,2015-09-28 15:41:11,2015-09-28 15:41:11
111,12ZjxY_UIZs,132,6,1,0,1,2015-09-28 15:41:12,2015-09-28 15:41:12
112,14nxgSzEpIc,69,0,0,0,0,2015-09-28 15:41:12,2015-09-28 15:41:12
113,14ykJdze9KM,349,21,6,0,1,2015-09-28 15:41:13,2015-09-28 15:41:13
114,1BBYS3ANJFM,325,12,1,0,0,2015-09-28 15:41:13,2015-09-28 15:41:13
115,1DDK6ca2Y6c,497,20,0,0,4,2015-09-28 15:41:13,2015-09-28 15:41:13
116,1GMhVLD2n6w,1067,4,4,0,3,2015-09-28 15:41:14,2015-09-28 15:41:14
117,1HUSKGz9CHc,25861,3,0,0,0,2015-09-28 15:41:14,2015-09-28 15:41:14
118,1IuK2dWrgdM,20819,146,47,0,2,2015-09-28 15:41:15,2015-09-28 15:41:15
119,1LWVV6y0JuQ,350,1,0,0,0,2015-09-28 15:41:15,2015-09-28 15:41:15
120,1MHrpn0U6mo,1162,45,11,0,12,2015-09-28 15:41:16,2015-09-28 15:41:16
121,1OTp2dGFlao,87,1,0,0,0,2015-09-28 15:41:16,2015-09-28 15:41:16
122,1Pb6I4DDR7Y,100,4,1,0,2,2015-09-28 15:41:17,2015-09-28 15:41:17
123,1QZaBHuzv0M,408,6,1,0,1,2015-09-28 15:41:17,2015-09-28 15:41:17
124,1SYguT7wnSM,532,8,0,0,3,2015-09-28 15:41:18,2015-09-28 15:41:18
125,1TO7Map_MXg,176,9,0,0,0,2015-09-28 15:41:19,2015-09-28 15:41:19
126,1UVZCXvS19s,4626,78,0,0,2,2015-09-28 15:41:19,2015-09-28 15:41:19
127,1W1uD1nkPT8,42,0,0,0,0,2015-09-28 15:41:20,2015-09-28 15:41:20
128,1ZUhdUXRf_M,6264,139,20,0,116,2015-09-28 15:41:20,2015-09-28 15:41:20
129,1Zo8gR2a74Q,1843,29,0,0,0,2015-09-28 15:41:20,2015-09-28 15:41:20
130,1_4qXNTvKNY,189,5,2,0,1,2015-09-28 15:41:21,2015-09-28 15:41:21
131,1d32jmxs-eE,1411,55,4,0,13,2015-09-28 15:41:21,2015-09-28 15:41:21
132,1hQO-iCbWEc,321,14,1,0,5,2015-09-28 15:41:23,2015-09-28 15:41:23
133,1isxHo9xrOQ,557,13,6,0,2,2015-09-28 15:41:23,2015-09-28 15:41:23
134,1mK8Vq_XAx4,795,12,3,0,4,2015-09-28 15:41:23,2015-09-28 15:41:23
135,1nMVdBPEQGE,857,0,0,0,8,2015-09-28 15:41:24,2015-09-28 15:41:24
136,1oI0BjSNOHs,7940,3,0,0,0,2015-09-28 15:41:24,2015-09-28 15:41:24
137,1pYD8MzHvig,208310,214,1526,0,421,2015-09-28 15:41:24,2015-09-28 15:41:24
138,1pj6lKLPVIs,373,5,1,0,3,2015-09-28 15:41:25,2015-09-28 15:41:25
139,1sbU_xZuJ6E,630,16,4,0,2,2015-09-28 15:41:25,2015-09-28 15:41:25
140,1tGqCd795V0,2371,46,7,0,0,2015-09-28 15:41:25,2015-09-28 15:41:25
141,1tJsQNTAWkA,1562,21,3,0,0,2015-09-28 15:41:26,2015-09-28 15:41:26
142,1vSkmohpYtY,1936,9,0,0,1,2015-09-28 15:41:26,2015-09-28 15:41:26
143,1ydP4cN591o,235,1,0,0,0,2015-09-28 15:41:27,2015-09-28 15:41:27
144,1yk3sbTTX8c,1054,12,4,0,0,2015-09-28 15:41:27,2015-09-28 15:41:27
145,1ylMi4MpAFg,427,7,0,0,0,2015-09-28 15:41:27,2015-09-28 15:41:27
146,1zafiTjm0_w,584,17,1,0,0,2015-09-28 15:41:28,2015-09-28 15:41:28
147,2-sMeXKTohU,833,0,0,0,0,2015-09-28 15:41:28,2015-09-28 15:41:28
148,20nIhetKT3s,1837,48,4,0,4,2015-09-28 15:41:28,2015-09-28 15:41:28
149,25u5JRjR9Yw,119,0,0,0,0,2015-09-28 15:41:29,2015-09-28 15:41:29
150,25uYDFmI_w0,978,13,0,0,0,2015-09-28 15:41:29,2015-09-28 15:41:29
151,27-Hwi_ETXU,122,4,1,0,2,2015-09-28 15:41:29,2015-09-28 15:41:29
152,27wpkpkHdWE,2619,18,2,0,9,2015-09-28 15:41:30,2015-09-28 15:41:30
153,2A52Ar9z12Q,403,1,1,0,2,2015-09-28 15:41:30,2015-09-28 15:41:30
154,2A9wSrE9vBs,6203,19,1,0,3,2015-09-28 15:41:30,2015-09-28 15:41:30
155,2AkYK7Lv3mo,16236,47,219,0,100,2015-09-28 15:41:31,2015-09-28 15:41:31
156,2C4GkasoW10,343,10,1,0,0,2015-09-28 15:41:31,2015-09-28 15:41:31
157,2DacqOI530c,236,13,2,0,0,2015-09-28 15:41:31,2015-09-28 15:41:31
158,2DxP82L16iI,4900,65,3,0,71,2015-09-28 15:41:32,2015-09-28 15:41:32
159,2F0KuKL8yM8,95,0,0,0,0,2015-09-28 15:41:32,2015-09-28 15:41:32
160,2Fl43y1hCgE,2076,15,0,0,4,2015-09-28 15:41:33,2015-09-28 15:41:33
161,2H8kPlM97fU,853,7,2,0,3,2015-09-28 15:41:33,2015-09-28 15:41:33
162,2HgtK7bQU68,42128,408,139,0,365,2015-09-28 15:41:33,2015-09-28 15:41:33
163,2HkMTE1qaMA,2087,94,9,0,13,2015-09-28 15:41:34,2015-09-28 15:41:34
164,2Ib4vgbtOAo,332,6,0,0,1,2015-09-28 15:41:34,2015-09-28 15:41:34
165,2Nc96b-hN2U,2447,153,7,0,20,2015-09-28 15:41:34,2015-09-28 15:41:34
166,2OSP4x-dYxs,357,9,1,0,2,2015-09-28 15:41:35,2015-09-28 15:41:35
167,2OmEQr7dBW4,2491,33,17,0,7,2015-09-28 15:41:35,2015-09-28 15:41:35
168,2P8km9IuVAQ,509,26,3,0,0,2015-09-28 15:41:35,2015-09-28 15:41:35
169,2UdtPoVtae0,1433,34,3,0,3,2015-09-28 15:41:36,2015-09-28 15:41:36
170,2VGCDIlS5RY,55,1,0,0,1,2015-09-28 15:41:36,2015-09-28 15:41:36
171,2XaJljKrjv8,43039,211,203,0,3,2015-09-28 15:41:37,2015-09-28 15:41:37
172,2YBvS7jqtSE,588,1,1,0,0,2015-09-28 15:41:37,2015-09-28 15:41:37
173,2_D1fsjYGSA,5084,10,3,0,0,2015-09-28 15:41:37,2015-09-28 15:41:37
174,2aNmQ3sw3ms,2618,18,3,0,15,2015-09-28 15:41:38,2015-09-28 15:41:38
175,2b6oQuzgl44,1554,24,3,0,3,2015-09-28 15:41:38,2015-09-28 15:41:38
176,2bhxltfiLNI,2766,73,8,0,14,2015-09-28 15:41:39,2015-09-28 15:41:39
177,2d2TSD4i4m8,1747,6,1,0,3,2015-09-28 15:41:39,2015-09-28 15:41:39
178,2hwhk6jO9Aw,2053,49,2,0,0,2015-09-28 15:41:39,2015-09-28 15:41:39
179,2j0OrecMt9E,8859,1,2,0,0,2015-09-28 15:41:40,2015-09-28 15:41:40
180,2k2pZUvX0lc,55,0,0,0,0,2015-09-28 15:41:40,2015-09-28 15:41:40
181,2mAdSFtqCwM,146,0,0,0,0,2015-09-28 15:41:41,2015-09-28 15:41:41
182,2no-Qt3gFWw,9155,9,1,0,5,2015-09-28 15:41:41,2015-09-28 15:41:41
183,2s26KpNXvf8,1182,10,0,0,0,2015-09-28 15:41:41,2015-09-28 15:41:41
184,2s9ofYxwakk,944,21,2,0,0,2015-09-28 15:41:42,2015-09-28 15:41:42
185,2tOm87RFIK4,11671,1,1,0,0,2015-09-28 15:41:42,2015-09-28 15:41:42
186,2tTsPnY4lkY,33267,216,33,0,63,2015-09-28 15:41:42,2015-09-28 15:41:42
187,2vzI0q6W5EM,4547,23,2,0,2,2015-09-28 15:41:43,2015-09-28 15:41:43
188,2xawu1qxhgY,52,0,0,0,0,2015-09-28 15:41:43,2015-09-28 15:41:43
189,3-I374b_HMk,101,0,0,0,0,2015-09-28 15:41:43,2015-09-28 15:41:43
190,30AmE5cAyng,8279,93,96,0,75,2015-09-28 15:41:44,2015-09-28 15:41:44
191,32YcTsKUdfQ,2533,53,2,0,13,2015-09-28 15:41:44,2015-09-28 15:41:44
192,32pACVLxFUk,4207,17,2,0,3,2015-09-28 15:41:44,2015-09-28 15:41:44
193,33h1UtRtMqA,757,11,5,0,5,2015-09-28 15:41:45,2015-09-28 15:41:45
194,34B2lDd33n4,356,4,0,0,3,2015-09-28 15:41:45,2015-09-28 15:41:45
195,36C5fruciqk,57,0,0,0,0,2015-09-28 15:41:45,2015-09-28 15:41:45
196,36OnvrR6TFo,5468,142,12,0,39,2015-09-28 15:41:46,2015-09-28 15:41:46
197,38kX43XDQzY,196,3,1,0,4,2015-09-28 15:41:46,2015-09-28 15:41:46
198,3E-FstdPR3I,408,14,2,0,3,2015-09-28 15:41:46,2015-09-28 15:41:46
199,3E4cJevGAg0,1177,24,6,0,1,2015-09-28 15:41:47,2015-09-28 15:41:47
200,3E7HhUPmwaE,1729,19,3,0,7,2015-09-28 15:41:47,2015-09-28 15:41:47
201,3FdNCB-N70E,12267,68,54,0,46,2015-09-28 15:41:47,2015-09-28 15:41:47
202,3GIwjFpIEh8,576,5,0,0,0,2015-09-28 15:41:48,2015-09-28 15:41:48
203,3GpLyibNaVY,371,3,0,0,2,2015-09-28 15:41:48,2015-09-28 15:41:48
204,3JsDhwqGBAk,32,0,0,0,0,2015-09-28 15:41:48,2015-09-28 15:41:48
205,3UieLEwWqig,3266,40,5,0,24,2015-09-28 15:41:49,2015-09-28 15:41:49
206,3UzQZT3MTLw,152,0,0,0,0,2015-09-28 15:41:49,2015-09-28 15:41:49
